候选来自 Wikidata 按收藏地反查（P195/P276），已粗筛去器物、并与本库做过题名查重。
**但查重必有漏**：繁简字表不全（『瑞鶴圖』就没对上库里的『瑞鹤图』）、
题名详略不同（『兰亭集序神龙本』vs『兰亭序神龙本』）。
**所以每一条动手前必须自己 grep 全库，多用几种写法。查不到不等于没有。**
格式：Wikidata QID | 中文题名 | 藏品号（可能为空）

本片候选 128 条，**从中选 13 件最值得立目的建成完整级**。

Q116490041|袁江梁园飞雪图轴|新00156581
Q116490043|袁江观潮图轴|新00105875
Q116490045|李寅仿郭忠恕山水楼阁图轴|新00146346
Q116490046|月曼清游图册|故00009224
Q116490048|喻兰仕女清娱图册|故00005620
Q116490050|费丹旭十二金钗图册|新00016664
Q116490051|改琦元机诗意图轴|新00100687
Q116490053|袁耀山雨欲来图轴|新00156582
Q116490058|沙馥芭蕉仕女图轴|新00100698
Q116490060|任熊仕女消闲图轴|新00054684
Q116490063|袁耀骊山避暑图屏|新00017031
Q116490066|冷枚养正图册|故00061351-10/10
Q116490067|张若澄燕山八景图册|故00005528
Q116490071|吴昌硕岁朝清供图轴|新00102772
Q116490072|石涛高呼与可图卷|新00202005
Q116490076|李鱓松藤图轴|新00146354
Q116490077|罗聘邓石如登岱图轴|新00156388
Q116490079|闵贞巴慰祖像轴|新00147012
Q116490081|华嵒自画像图轴|新00147001
Q116490084|冷枚避暑山庄图轴|故00008210
Q116490086|郑燮梅竹图轴|新00147166
Q116490093|蒋廷锡芙蓉鹭鸶图轴|新00100371
Q116490094|王翚九华秀色图轴|新00146098
Q116490098|邹喆山水图轴|新00147114
Q116490099|查士标溪山放牧图轴|新00146529
Q116490101|王原祁仿王蒙山水图轴|新00146036
Q116489144|陈道复梅花水仙图轴|新00125101
Q116489146|吴彬千岩万壑图轴|新00086494
Q116489148|卞文瑜一梧轩图轴|新00016755
Q116489151|吴彬菩萨像轴|新00073981
Q116489153|周之冕双燕鸳鸯图轴|新00146477
Q116489155|孙克弘耄耋图轴|新00146626
Q116489156|宋懋晋写宋之问诗意图轴|新00146296
Q116489158|文嘉仿董源溪山行旅图轴|新00145953
Q116489160|吴伟松溪渔炊图轴|新00187707
Q116489161|夏昶墨竹图轴|新00081454
Q116489163|林良锦鸡图轴|新00194628
Q116489165|张路停琴高士图轴|新00014137
Q116489166|杜琼为吴宽作山水图轴|新00053960
Q116489168|蓝瑛溪桥话旧图轴|新00099499
Q116489170|沈士充山楼观稼图轴|新00082074
Q116489171|唐寅观梅图轴|新00152328
Q116489173|赵左长林积雪图轴|新00101842
Q116489176|陈道复牡丹花卉图轴|新00188296
Q116489177|文徵明枯木疏篁图轴|新00150620
Q116489179|沈周为惟德作山水图轴|新00150463
Q116489181|吴伟松阴观瀑图轴|新00194473
Q116489182|戴进山水图轴|新00073976
Q116489184|项圣谟雨满山斋图轴|新00146920
Q116489186|沈士充寒塘渔艇图轴|新00098000
Q116489188|陈道復山水图轴|新00124212
Q116489190|沈周乔木慈乌图轴|新00146262
Q116489193|唐寅钱塘景物图轴|新00146598
Q116489195|沈周柳荫坐钓图轴|新00013852
Q116489196|蓝瑛仿王蒙山水图轴|新00073980
Q116489198|沈士充寒林浮霭图轴|新00134005
Q116489200|赵左山水图轴（望山垂钓）|新00086530
Q116489201|徐渭四季花卉图轴|新00153406
Q116489203|孙隆雪禽梅竹图轴|新00187501
Q116489205|林良雪景鹰雁轴|新00151411
Q116489206|林良孔雀图轴|新00187223
Q116489208|林良芦雁图轴|新00118709
Q116489210|朱见深岁朝佳兆图轴|故00005021
Q116489211|缪辅鱼藻图轴|新00097993
Q116489213|吕纪竹禽图轴|新00187435
Q116489216|朱瞻基武侯高卧图卷|新00146248
Q116489221|吴伟树下读书图轴|新00146390
Q116489223|计盛货郎图轴|故00005288
Q116489225|商喜明宣宗行乐图轴|故00005457
Q116489226|戴进海水旭日卷|新00179461
Q116489228|戴进雪景山水轴|新00125300
Q116489230|林良雪景双雉图轴|新00155214
Q116489231|戴进葵石蛱蝶图轴|新00147263
Q116489053|蒋嵩《旭日东升图》扇页|新00046419
Q116489055|沈周《秋林图》扇页|新00147896
Q116489056|周臣《山水人物图》扇页|新00099392
Q116489058|沈周枇杷图轴|新00151404
Q116489059|吕纪南极老人像轴|新00146438
Q116489061|丁云鹏玉川煮茶图轴|新00145178
Q116489063|丁云鹏《冯媛当熊图》卷|新00145928
Q116489064|仇珠女乐图轴|新00018666
Q116489066|陈洪绶听琴轴|新00154669
Q116489068|明人萧翼赚兰亭图轴|新00153430
Q116489073|沈时兰亭修褉图卷|新00047815
Q116489074|王宁甫《墨笔兰亭图》卷|新00121150
Q116489077|黄宸曲水流觞图卷|新00107979
Q116489079|许光祚兰亭图并书序卷|新00146704
Q116489081|吴彬普贤像图轴|新00126305
Q116489086|杨文骢仙人村坞图轴|新00133392
Q116489088|吴彬达摩图轴|新00092524
Q116489090|文俶花卉图册|新00105993
Q116489091|尤求红拂图轴|新00146158
Q116489093|李流芳檀园墨戏图轴|新00097997
Q116489094|马守真兰竹水仙轴|新00187524
Q116489096|周臣渔乐图卷|新00045278
Q116489098|沈周仿董巨山水图轴|新00016628
Q116489100|郑重龙舟竞渡图轴|故00005889
Q116489101|陈洪绶乞士图轴|新00146787
Q116489103|程嘉燧孤松高士图轴|新00133394
Q116489105|孙克弘玉堂芝兰图轴|新00146625
Q116489106|汪肇柳禽白鹇图轴|新00139491
Q116489108|沈周溪山晚照图轴|新00098015
Q116489111|尤求品古图轴|新00146159
Q116489113|张风北固烟柳图轴|新00100749
Q116489115|顾正谊江岸长亭图轴|新00154666
Q116489116|徐渭水墨牡丹图轴|新00199409
Q116489118|周天球墨兰图轴|新00016612
Q116489119|谢时臣策杖寻幽图轴|新00147231
Q116489121|吴彬云峦秋色图轴|新00023090
Q116489123|朱端弘农渡虎图轴|新00054648
Q116489125|王谔踏雪寻梅图轴|新00146135
Q116489126|吕棠花石鸳鸯图轴|新00077750
Q116489128|吕纪、吕文英合绘竹园寿集图卷|新00196761
Q116489130|吴伟太极图轴|新00187216
