候选来自 Wikidata 按收藏地反查（P195/P276），已粗筛去器物、并与本库做过题名查重。
**但查重必有漏**：繁简字表不全（『瑞鶴圖』就没对上库里的『瑞鹤图』）、
题名详略不同（『兰亭集序神龙本』vs『兰亭序神龙本』）。
**所以每一条动手前必须自己 grep 全库，多用几种写法。查不到不等于没有。**
格式：Wikidata QID | 中文题名 | 藏品号（可能为空）

本片候选 128 条，**从中选 13 件最值得立目的建成完整级**。

Q7218087|甲申十同年圖|新00200389
Q10893532|兰亭集序神龙本|故00002597
Q11068258|杜牧行书张好好诗卷|新00044431
Q11087811|明宣宗行乐图|故00006247
Q15895516|阿房宫图|新00069011
Q15913369|蘭亭集序天曆本|故00003513
Q15920696|蘭亭集序米芾詩題本|故00002789
Q15921373|蒙古山水地圖|
Q22342972|康熙南巡图第十二卷|新00147550
Q22342976|清人画玄烨南巡图第九卷|故00006302
Q24832434|雍亲王题书堂深居图屏|故00006458
Q58460510|十骏图|
Q96739153|任熊自画像轴|新00146208
Q107696210|萧云从雪岳读书图轴|新00147245
Q116305087|潇湘秋意图|新00147352
Q116309966|白云红树图|新00138452
Q116310525|幽篁秀石图|新00061290
Q116311792|宋人搜山图卷|新00016639
Q116396028|搜尽奇峰图|新00010499
Q116413206|王士禛放白鹇图|新00074015
Q116415200|宋人洛神赋图卷|新00147329
Q116444042|江山放牧图|新00176133
Q116445715|八花图|新00135355
Q116445854|山村图|新00077530
Q116448882|残荷鹰鹭图|新00013865
Q116449541|维摩演教图|新00146319
Q116458228|升庵簪花图|新00146790
Q116458756|任预十二生肖图册-兔|新00101303-4/12
Q116458762|余省、张为邦合画兽谱册|故00006117-2/6
Q116458763|汪士慎梅花图册|新00179076
Q116458765|陆復梅花卷|新00166622
Q116458766|项圣谟天寒有鹤守梅花图扇页|新00148518
Q116458772|金农梅花图扇|新00148056
Q116458775|陶成蟾宫玉兔图轴|新00146862
Q116458776|汪士慎梅花兰石图轴|新00146299
Q116458779|费以耕梅花仕女扇|新00133044
Q116458780|齐白石桃兔图轴|新00105975
Q116458786|费丹旭梅花仕女扇|新00061703
Q116458787|扬无咎四梅花卷|新00054045
Q116458788|任颐梅花仕女轴|新00052554
Q116458790|任熊梅花仕女图扇|新00016991
Q116458792|徐霖菊石野兔图轴|新00010460
Q116458794|弘历仿沈周月兔轴|故00237283
Q116458797|清代人画弘历射兔图轴|故00006497
Q116458798|清人中秋佳瑞图卷|故00006298
Q116458800|冷枚梧桐双兔图轴|故00005183
Q116458803|杨晋田家乐图扇|新00178763
Q116458808|袁尚统岁朝图轴|新00168199
Q116458811|明皇斗鸡图轴|新00154200
Q116458813|周官莲花落图卷|新00153389
Q116458816|张宏画牛图册|新00146731
Q116458818|李士达三驼图轴|新00146310
Q116458819|张宏杂技游戏图卷|新00137292
Q116458821|明人清明上河图卷|新00128901
Q116458824|雪山渔父图轴|新00107969
Q116458825|史汉元日题诗图轴|新00100437
Q116458827|任颐乞巧图轴|新00100344
Q116458829|张宏击缶图轴|新00044507
Q116458833|周官观灯倡咏图卷|新00018967
Q116458835|李士达岁朝村庆图轴|故00005188
Q116458837|邹一桂桃花图轴|新00059943
Q116458839|朱耷梅花轴|新00146236
Q116458841|赵雍沙苑牧马图卷|新00147138
Q116458844|恽寿平高岩溅瀑图轴|新00133407
Q116458846|恽寿平花卉山水册|
Q116458850|夏圭遥岑烟霭图页|新00147427-2/12
Q116458853|盛懋秋江待渡图轴|新00107775
Q116458855|沙馥补景清人画屠婉贞像轴|新00109798
Q116458862|李衎墨竹轴|新00097992
Q116458864|李迪鸡雏待饲图页|新00147428-4/12
Q116458867|金农自画像轴|新00100932
Q116458869|坚白子草虫卷|新00147475
Q116458871|龚贤山水册|新00147344-11/20
Q116458873|丁云鹏竹石云泉图扇页|新00082155
Q116458878|宋人莲舟仙渡图页|新00148941
Q116458882|宋人鹌鹑图页|新00147506
Q116458885|寒塘凫侣图页|新00147430-5/21
Q116458886|荷塘鸂鵣图页|新00147430-4/21
Q116458890|宋人五云楼阁图页|新00147427-4/12
Q116458892|宋人松荫闲憩图页|新00147426-12/14
Q116458902|仙山楼阁图页|新00147424-11/12
Q116459005|王翚临黄公望富春山居图卷|新00054066
Q116459008|梅清双松图轴|新00053975
Q116459010|吴历春早晴雪图轴|新00053968
Q116459011|清人画弘历击鹿图像轴|故00009204
Q116459013|石涛对牛弹琴图轴|新00147041
Q116459019|叔伊兰石轴|新00046443
Q116459021|王原祁仿李成烟景轴|新00045263
Q116459023|李世倬桂花月兔图扇页|新00044646
Q116459030|王时敏端午图轴|新00013894
Q116459033|名家山水册|新00013872
Q116459034|王翚夏山高隐轴|新00013851
Q116459036|宋旭山水册|新00010772
Q116459038|陈撰花卉册|新00010763
Q116459041|文嘉仿董源山水轴|新00010745
Q116459043|翁嵩年山水轴|新00010739
Q116459045|李方膺游鱼图轴|新00039775
Q116459048|李永昌松石图轴|新00023088
Q116459049|杜堇画邵雍像轴|新00023085
Q116459051|王翚祭诰图卷|新00018761
Q116459053|王翚邗江雪意图卷|新00018733
Q116459055|弘仁山水册装卷|新00018729
Q116459057|王翚霜柯远岫轴|新00018704
Q116459059|王翚修竹幽亭轴|新00018702
Q116459061|陈继儒梅花双禽卷|新00010696
Q116459064|杨大章渔乐图扇页|新00010665
Q116459073|董其昌山水册页|新00010523
Q116459075|髡残物外田园图册|新00010511
Q116459077|周之冕秋江卷|新00010488
Q116459079|王翚重林叠嶂轴|新00018701
Q116459081|梅清黄山图轴|新00018661
Q116459083|黄慎荷鹭图轴|新00018631
Q116459085|汪士慎梅花图轴|新00018628
Q116459087|王鉴山水图轴|新00018626
Q116459089|唐寅高木慈鸦图扇|新00016885
Q116459091|王翚翠微秋色轴|新00016775
Q116459093|朱端竹石轴|新00016771
Q116459095|董其昌佘山游境图轴|新00016654
Q116459099|弘仁节寿图轴|新00016746
Q116459101|陈洪绶戏婴轴|新00016744
Q116459111|石涛山水图册|新00016668
Q116459114|吴昌硕玉兰轴|新00016609
Q116459117|黄易携琴访友卷|新00010486
