候选来自 Wikidata 按收藏地反查（P195/P276），已粗筛去器物、并与本库做过题名查重。
**但查重必有漏**：繁简字表不全（『瑞鶴圖』就没对上库里的『瑞鹤图』）、
题名详略不同（『兰亭集序神龙本』vs『兰亭序神龙本』）。
**所以每一条动手前必须自己 grep 全库，多用几种写法。查不到不等于没有。**
格式：Wikidata QID | 中文题名 | 藏品号（可能为空）

本片候选 21 条，**从中选 13 件最值得立目的建成完整级**。

Q10828655|竹林大士出山圖|
Q60992034|瑞鶴圖|
Q116417588|宋人洛神赋图卷|
Q121337588|獅頭鵝圖|
Q134742283|清冯敏昌行书屏|
Q134742284|清闵贞人物轴|
Q134742285|清陈元龙行书轴|
Q134742286|清陈希祖行书轴|
Q134742287|清姚元之山水轴|
Q134742288|清人仿米芾行书轴|
Q134742289|清沈荣培赤壁夜游轴|
Q134742290|清仿翁同龢行书轴|
Q134742291|清张照行书轴|
Q134742292|明佚名仿张翀人物轴|
Q134742294|清道家三清画像轴|
Q134742295|清陈邦彦行书轴|
Q134742296|清徐坚万壑松风轴|
Q134742297|元佚名山溪水磨图轴|
Q134742298|清张伯龙画杨将军纪恩图轴|
Q134742299|清佚名仿焦秉贞人物轴|
Q134742300|清朱伦瀚山水轴|
